name,team,battingStyle,bowlingStyle,playingRole
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter
Kusal Mendisâ€ ,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka(c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Aaron Finch(c),Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Regis Chakabvaâ€ ,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Craig Ervine(c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie(c),Ireland,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tuckerâ€ ,Ireland,Right hand Bat,,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Rahmanullah Gurbazâ€ ,Afghanistan,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Nabi(c),Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Jos Buttler(c)â€ ,England,Right hand Bat,,Wicketkeeper Batter
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,England,Right hand Bat,Legbreak,Bowler
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter
Vriitya Aravindâ€ ,U.A.E.,Right hand Bat,,Wicketkeeper
Chundangapoyil Rizwan(c),U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter
Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter
Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter
Zane Greenâ€ ,Namibia,Left hand Bat,,Wicketkeeper Batter
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler
Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler
Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler
Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler
Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler
Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter
Scott Edwards(c)â€ ,Netherlands,Right hand Bat,,Wicketkeeper Batter
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter
Evin Lewis,West Indies,Left hand Bat,,Opening Batter
Brandon King,West Indies,Right hand Bat,,Top order Batter
Nicholas Pooran(c)â€ ,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Mohammad Rizwanâ€ ,Pakistan,Right hand Bat,,Wicketkeeper Batter
Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler
KL Rahul,India,Right hand Bat,,Opening Batter
Rohit Sharma(c),India,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Dinesh Karthikâ€ ,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter
Litton Das,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Shakib Al Hasan(c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Nurul Hasanâ€ ,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Crossâ€ ,Scotland,Right hand Bat,,Wicketkeeper Batter
Richie Berrington(c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Quinton de Kockâ€ ,South Africa,Left hand Bat,,Wicketkeeper Batter
Temba Bavuma(c),South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Finn Allen,New Zealand,Right hand Bat,,Top order Batter
Devon Conwayâ€ ,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson(c),New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wadeâ€ ,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler
Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter
Matthew Wade(c)â€ ,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Rishabh Pantâ€ ,India,Left hand Bat,,Wicketkeeper Batter
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler
Regis Chakabva(c)â€ ,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
